Bandit,Reward,Algorithm,Trial
3.0,4.434949453662874,EpsilonGreedy,
3.0,4.6802121616212,EpsilonGreedy,
3.0,3.4313419168237997,EpsilonGreedy,
3.0,5.2749378864230705,EpsilonGreedy,
3.0,2.5618951288846628,EpsilonGreedy,
3.0,5.659052608120643,EpsilonGreedy,
2.0,4.347263581942804,EpsilonGreedy,
3.0,3.1441846773997897,EpsilonGreedy,
3.0,4.707985339904237,EpsilonGreedy,
3.0,3.752115490908619,EpsilonGreedy,
3.0,3.696598785355541,EpsilonGreedy,
3.0,3.760156853443672,EpsilonGreedy,
3.0,3.955981781328282,EpsilonGreedy,
3.0,3.433998079880675,EpsilonGreedy,
3.0,2.308118367728331,EpsilonGreedy,
3.0,5.115287005405766,EpsilonGreedy,
3.0,3.803939377773774,EpsilonGreedy,
3.0,4.835545399642966,EpsilonGreedy,
3.0,2.278571120651205,EpsilonGreedy,
3.0,1.6803860512066269,EpsilonGreedy,
3.0,3.643708895587317,EpsilonGreedy,
3.0,1.6324767552389123,EpsilonGreedy,
3.0,4.383419448516845,EpsilonGreedy,
3.0,3.3950865736895635,EpsilonGreedy,
3.0,3.112292351702538,EpsilonGreedy,
3.0,4.564730211132983,EpsilonGreedy,
3.0,3.902944662509192,EpsilonGreedy,
3.0,3.3025550929285123,EpsilonGreedy,
3.0,3.8595190315127192,EpsilonGreedy,
3.0,3.1820891849451263,EpsilonGreedy,
3.0,4.652129407530973,EpsilonGreedy,
3.0,6.305132597476943,EpsilonGreedy,
3.0,2.8453851199218905,EpsilonGreedy,
3.0,3.2215397686382943,EpsilonGreedy,
3.0,3.829266955921627,EpsilonGreedy,
3.0,3.3496982926682195,EpsilonGreedy,
3.0,2.922915591022361,EpsilonGreedy,
3.0,4.182038586289844,EpsilonGreedy,
3.0,4.186145766419634,EpsilonGreedy,
3.0,3.870159205315366,EpsilonGreedy,
3.0,4.399524538106503,EpsilonGreedy,
3.0,3.0641682924174622,EpsilonGreedy,
3.0,4.086563687290546,EpsilonGreedy,
3.0,5.193882983650069,EpsilonGreedy,
